Scene 1: 560,2543 seconds
Scene 2: 46,80646 seconds
Scene 3: 31,46295 seconds
Scene 4: 29,00293 seconds
Scene 4: 64,31476 seconds
Scene 4: 95,89276 seconds
Scene 4: 122,1177 seconds
Scene 4: 189,549 seconds
Scene 4: 219,7801 seconds
Scene 4: 260,7528 seconds
Scene 4: 300,7186 seconds
Scene 4: 325,824 seconds
Scene 4: 370,707 seconds
Scene 5: 6,78479 seconds
Scene 5: 26,69159 seconds
Scene 5: 48,21075 seconds
Scene 6: 15,15808 seconds
Scene 6: 33,29773 seconds
Scene 6: 92,9823 seconds
Scene 7: 20,37354 seconds
Scene 7: 31,79871 seconds
Scene 7: 55,28223 seconds
Scene 7: 78,10547 seconds
Scene 7: 127,6166 seconds
Scene 1: 92,0405 seconds
Scene 2: 40,76203 seconds
Scene 3: 33,43759 seconds
Scene 4: 40,00829 seconds
Scene 4: 164,7013 seconds
Scene 4: 182,6287 seconds
Scene 4: 201,7424 seconds
Scene 4: 217,0804 seconds
Scene 4: 238,5963 seconds
Scene 4: 243,9091 seconds
Scene 5: 5,585449 seconds
Scene 5: 43,79514 seconds
Scene 6: 17,25684 seconds
Scene 6: 27,58356 seconds
Scene 6: 46,95313 seconds
Scene 6: 141,3577 seconds
Scene 7: 28,2702 seconds
Scene 7: 58,35699 seconds
Scene 7: 65,66437 seconds
Scene 7: 79,24286 seconds
Scene 7: 90,58264 seconds
Scene 7: 101,5664 seconds
Scene 7: 120,1201 seconds
Scene 1: 236,9528 seconds
Scene 2: 40,58751 seconds
Scene 3: 21,62195 seconds
Scene 4: 41,77444 seconds
Scene 4: 80,02335 seconds
Scene 4: 110,9976 seconds
Scene 4: 137,0479 seconds
Scene 5: 33,29211 seconds
Scene 6: 42,06329 seconds
Scene 6: 141,2391 seconds
Scene 7: 17,40826 seconds
Scene 7: 31,28699 seconds
Scene 7: 61,30322 seconds
Scene 1: 194,7736 seconds
Scene 2: 49,38663 seconds
Scene 3: 25,08009 seconds
Scene 4: 28,05698 seconds
Scene 4: 84,58881 seconds
Scene 4: 85,53571 seconds
Scene 5: 26,01398 seconds
Scene 5: 46,72479 seconds
Scene 6: 31,2464 seconds
Scene 6: 50,44583 seconds
Scene 6: 81,47205 seconds
Scene 6: 138,8825 seconds
Scene 7: 11,08484 seconds
Scene 7: 16,96289 seconds
Scene 7: 16,98529 seconds
Scene 7: 88,18579 seconds
Scene 1: 285,5279 seconds
Scene 2: 46,75381 seconds
